Created by William 11/15/17

Based off of Pokémon Red

 Ndex	Pokémon		Type 1		Type 2		Location
 #057	Primeape	Fighting				Evolve Mankey (Level 28) 
 #058	Growlithe	Fire					Routes 7 & 8 Grasses & Pokemon Mansion Walking 
 #059	Arcanine	Fire					Evolve Growlithe (Fire Stone) 
 #060	Poliwag		Water					Routes 6, 10, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, Pallet Town, Virdian City, Cerulean Cave, Vermilion City, Celadon City, Fuchsia City, Cinnabar Island, Cerulean Cave, Safari Zone & Seafoam Islands Good Rod 
 #061	Poliwhirl	Water					Route 10 & Celadon City Super Rod 
 #062	Poliwrath	Water		Fighting	Evolve Poliwhirl (Water Stone) 
 #063	Abra		Psychic					Routes 24 & 25 Grasses 
 #064	Kadabra		Psychic					Cerulean Cave 1F & 2F Walking 
 #065	Alakazam	Psychic					Evolve Kadabra (Trade) 
 #066	Machop		Fighting				Rock Tunnel & Victory Rock Walking 
 #067	Machoke		Fighting				Victory Road Walking 
 #068	Machamp		Fighting				Evolve Machoke (Trade) 
 #069	Bellsprout	Grass		Poison		Unobtainable In Red (Trade) 
 #070	Weepinbell	Grass		Poison		Unobtainable In Red (Trade) 
 #071	Victreebel	Grass		Poison		Unobtainable In Red (Trade) 
 #072	Tentacool	Water		Poison		Routes 12, 13, 17, Pallet Town & Viridian City Super Rod & Routes 19, 20, 21 Surfing 
 #073	Tentacruel	Water		Poison		Evolve Tentacool (Level 30)
 #074	Geodude		Rock		Ground		Mt. Moon, Rock Tunnel & Victory Road Walking 
 #075	Graveler	Rock		Ground		Victory Road Walking 
 #076	Golem		Rock		Ground		Evolve Graveler (Trade) 
 #077	Ponyta		Fire					Pokemon Mansion Walking 
 #078	Rapidash	Fire					Evolve Ponyta (Level 40) 
 #079	Slowpoke	Water		Psychic		Route 10, Celadon City & Safari Zone Super Rod & Seafoam Islands Walking 
 #080	Slowbro		Water		Psychic		Route 23 & Cerulean Cave Super Rod & Seafoam Islands Walking 
 #081	Magnemite	Electric	Steel		Power Plant Walking 
 #082	Magneton	Electric	Steel		Cerulean Cave & Power Plant Walking 
 #083	Farfetch'd	Normal		Flying		Vermilion City Trade
 #084	Doduo		Normal		Flying		Routes 16, 17, 18 & Safari Zone Grasses 
 #085	Dodrio		Normal		Flying		Cerulean Cave 1F & 2F Walking 
 #086	Seel		Water					Seafoam Islands Walking 
 #087	Dewgong		Water		Ice			Seafoam Islands Walking 
 #088	Grimer		Poison					Pokemon Mansion Walking 
 #089	Muk			Poison					Pokemon Mansion Walking 
 #090	Shellder	Water					Routes 6, 11, 19, 20, 21 & Seafoam Islands Super Rod & Seafoam Islands Walking 
 #091	Cloyster	Water		Ice			Evolve Shellder (Water Stone) 
 #092	Gastly		Ghost		Poison		Pokemon Tower Walking 
 #093	Haunter		Ghost		Poison		Pokemon Tower Walking 
 #094	Gengar		Ghost		Poison		Evolve Haunter (Trade) 
 #095	Onix		Rock		Ground		Rock Tunnel & Victory Road Walking 
 #096	Drowzee		Psychic					Route 11 Grasses 
 #097	Hypno		Psychic					Cerulean Cave 1F Walking 
 #098	Krabby		Water					Routes 6, 11, 12, 13, 17, 18, 24, 25, Cerulean City, Vermilion City, Fuchsia City, Cerulean Cave & Safari Zone Super Rod 
 #099	Kingler		Water					Route 23 Super Rod 
 #100	Voltorb		Electric				Route 10 Grasses & Power Plant Walking 
 #101	Electrode	Electric				Cerulean Cave Walking 
 #102	Exeggcute	Grass		Psychic		Safari Zone Grasses 
 #103	Exeggutor	Grass		Psychic		Evolve Exeggcute (Leaf Stone) 
 #104	Cubone		Ground					Pokemon Tower Walking
 #105	Marowak		Ground					Cerulean Cave & Victory Road Walking 
 #106	Hitmonlee	Fighting				Saffron City Dojo Gift 
 #107	Hitmonchan	Fighting				Saffron City Dojo Gift 
 #108	Lickitung	Normal					Route 18 Gate Trade 
 #109	Koffing		Poison					Pokemon Mansion Walking 
 #110	Weezing		Poison					Pokemon Mansion Walking 
 #111	Rhyhorn		Ground		Rock		Safari Zone Grasses 
 #112	Rhydon		Ground		Rock		Cerulean Cave Walking 
 #113	Chansey		Normal					Cerulean Cave Walking & Safari Zone Grasses 
 #114	Tangela		Grass					Route 21 Grasses 
 #115	Kangaskhan	Normal					Safari Zone Grasses 
 #116	Horsea		Water					Routes 19, 20, 21 & Seafoam Islands Super Rod 
 #117	Seadra		Water					Route 23 & Cerulean Cave Super Rod & Seafoam Islands Walking 
 #118	Goldeen		Water					Routes 6, 10, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, Pallet Town, Viridian City, Cerulean City, Vermilion City, Celadon City, Fuchsia City, Cinnabar Island, Cerulean Cave, Safari Zone, Seafoam Islands Good Rod 
 #119	Seaking		Water					Route 23, Fuchsia City & Cerulean Cave Super Rod 
 #120	Staryu		Water					Routes 19, 20, 21, Cinnabar Island & Seafoam Islands Super Rod
 #121	Starmie		Water		Psychic		Evolve Staryu (Water Stone) 
 #122	Mr. Mime	Psychic					Route 2 Trade 
 #123	Scyther		Bug			Flying		Safari Zone Grasses 
 #124	Jynx		Ice			Psychic		Cerulean City Trade 
 #125	Electabuzz	Electric				Power Plant Walking 
 #126	Magmar		Fire					Unobtainable In Red (Trade) 
 #127	Pinsir		Bug						Unobtainable In Red (Trade) 
 #128	Tauros		Normal					Safari Zone Grasses 
 #129	Magikarp	Water					All Waters Old Rod 
 #130	Gyarados	Water		Flying		Evolve Magikarp (Level 20) 
 #131	Lapras		Water		Ice			Silph Co Gift Pokemon 
 #132	Ditto		Normal					Routes 13, 14, 15, 23 Grasses & Cerulean Cave Walking 
 #133	Eevee		Normal					Celadon City Gift Pokemon 
 #134	Vaporeon	Water					Evolve Eevee (Water Stone) 
 #135	Jolteon		Electric				Evolve Eevee (Thunder Stone) 
 #136	Flareon		Fire					Evolve Eevee (Fire Stone) 
 #137	Porygon		Normal					Celadon City Game Corner Prize 
 #138	Omanyte		Rock		Water		Revive Helix Fossil On Cinnabar Island 
 #139	Omastar		Rock		Water		Evolve Omanyte (Level 40) 
 #140	Kabuto		Rock		Water		Revive Dome Fossil On Cinnabar Island 
 #141	Kabutops	Rock		Water		Evolve Kabuto (Level 40) 
 #142	Aerodactyl	Rock		Flying		Revive Old Amber On Cinnabar Island 
 #143	Snorlax		Normal					Routes 12 & 16 Poke Flute 
 #144	Articuno	Ice			Flying		Seafoam Islands 
 #145	Zapdos		Electric	Flying		Power Plant 
 #146	Moltres		Fire		Flying		Victory Road 
 #147	Dratini		Dragon					Safari Zone Super Rod 
 #148	Dragonair	Dragon					Evolve Dratini (Level 30) 
 #149	Dragonite	Dragon		Flying		Evolve Dragonair (Level 55) 
 #150	Mewtwo		Psychic					Cerulean Cave
 #151	Mew			Psychic					Unobtainable Outside Mew Glitch

Location



Moves
